Account Name,Year,Source,Immigrant Residents,Immigrant Share of Population,Share of FB that speak a language other than English at home,Immigrant Entrepreneurs,"Entrepreneur, Foreign-Born Share",Immigrants eligible to vote,Registered Immigrant Voters,Immigrant Taxes Paid,Immigrant Spending Power,State Fip,District,GEOID2,District_Note,StateName,DistrictNumber,DistrictName,GEOID
"Congressional District 1, Arizona",2024,1-year 2024 American Community Survey,95038,11.6%,73.1%,4620,7.40%,47152,35223,1583000000,4654000000,04,1,0401,,Arizona,1,Arizona District 1,0401
"Congressional District 3, Arizona",2024,1-year 2024 American Community Survey,215895,25.9%,93.7%,15739,11.50%,60656,45310,1854000000,5449000000,04,3,0403,,Arizona,3,Arizona District 3,0403
"Congressional District 4, Arizona",2024,1-year 2024 American Community Survey,112680,14.2%,80.5%,5826,8.20%,50115,37436,1454000000,4274000000,04,4,0404,,Arizona,4,Arizona District 4,0404
"Congressional District 5, Arizona",2024,1-year 2024 American Community Survey,86576,9.6%,76.6%,3976,7.50%,49328,36848,1247000000,3665000000,04,5,0405,,Arizona,5,Arizona District 5,0405
"Congressional District 6, Arizona",2024,1-year 2024 American Community Survey,85193,10.2%,77.1%,4795,10.50%,50570,37775,1059000000,3112000000,04,6,0406,,Arizona,6,Arizona District 6,0406
"Congressional District 7, Arizona",2024,1-year 2024 American Community Survey,164806,20.3%,91.9%,6423,7.40%,77243,57700,1347000000,3959000000,04,7,0407,,Arizona,7,Arizona District 7,0407
"Congressional District 8, Arizona",2024,1-year 2024 American Community Survey,111202,13.6%,82.8%,5118,7.80%,62528,46708,1318000000,3874000000,04,8,0408,,Arizona,8,Arizona District 8,0408
"Congressional District 9, Arizona",2024,1-year 2024 American Community Survey,98138,10.7%,80.7%,3517,6.40%,54696,40857,1182000000,3474000000,04,9,0409,,Arizona,9,Arizona District 9,0409
"Congressional District 3, Arkansas",2024,1-year 2024 American Community Survey,95453,11.7%,79.3%,3053,5.00%,29709,14491,1031000000,3103000000,05,3,0503,,Arkansas,3,Arkansas District 3,0503
"Congressional District 1, California",2024,1-year 2024 American Community Survey,88211,11.6%,86.0%,5833,11.40%,40990,28115,933000000,2138000000,06,1,0601,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,1,California District 1,0601
"Congressional District 2, California",2024,1-year 2024 American Community Survey,105931,14.1%,78.7%,8425,12.90%,55726,38223,1812000000,4151000000,06,2,0602,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,2,California District 2,0602
"Congressional District 3, California",2024,1-year 2024 American Community Survey,105565,13.1%,79.7%,5074,8.20%,63982,43886,1996000000,4573000000,06,3,0603,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,3,California District 3,0603
"Congressional District 4, California",2024,1-year 2024 American Community Survey,134472,17.7%,85.1%,5849,7.80%,65595,44992,1905000000,4366000000,06,4,0604,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,4,California District 4,0604
"Congressional District 5, California",2024,1-year 2024 American Community Survey,99034,12.8%,83.9%,5451,9.80%,58424,40074,1592000000,3647000000,06,5,0605,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,5,California District 5,0605
"Congressional District 6, California",2024,1-year 2024 American Community Survey,170231,22.3%,89.8%,8610,9.00%,88813,60917,2127000000,4874000000,06,6,0606,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,6,California District 6,0606
"Congressional District 7, California",2024,1-year 2024 American Community Survey,199795,26.1%,88.7%,9811,8.30%,119620,82048,2775000000,6360000000,06,7,0607,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,7,California District 7,0607
"Congressional District 8, California",2024,1-year 2024 American Community Survey,218338,29.2%,88.7%,10361,8.50%,119846,82203,3141000000,7198000000,06,8,0608,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,8,California District 8,0608
"Congressional District 9, California",2024,1-year 2024 American Community Survey,206004,26.3%,90.6%,7859,6.90%,97331,66760,2754000000,6310000000,06,9,0609,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,9,California District 9,0609
"Congressional District 10, California",2024,1-year 2024 American Community Survey,204147,26.4%,83.8%,6730,5.50%,125561,86123,5681000000,13017000000,06,10,0610,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,10,California District 10,0610
"Congressional District 11, California",2024,1-year 2024 American Community Survey,235276,32.2%,80.7%,8436,5.90%,141043,96743,6530000000,14963000000,06,11,0611,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,11,California District 11,0611
"Congressional District 12, California",2024,1-year 2024 American Community Survey,209019,27.6%,85.7%,12911,10.20%,110047,75482,3811000000,8733000000,06,12,0612,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,12,California District 12,0612
"Congressional District 13, California",2024,1-year 2024 American Community Survey,220677,27.9%,94.0%,8830,7.10%,83239,57094,2271000000,5205000000,06,13,0613,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,13,California District 13,0613
"Congressional District 14, California",2024,1-year 2024 American Community Survey,297422,40.8%,88.8%,12287,6.40%,161475,110757,7045000000,16144000000,06,14,0614,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,14,California District 14,0614
"Congressional District 15, California",2024,1-year 2024 American Community Survey,287642,39.8%,86.2%,14693,8.00%,167939,115191,7184000000,16462000000,06,15,0615,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,15,California District 15,0615
"Congressional District 16, California",2024,1-year 2024 American Community Survey,270205,35.9%,84.2%,10857,6.30%,139993,96022,9659000000,22134000000,06,16,0616,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,16,California District 16,0616
"Congressional District 17, California",2024,1-year 2024 American Community Survey,388239,50.9%,90.5%,10814,4.10%,179049,122811,13650000000,31278000000,06,17,0617,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,17,California District 17,0617
"Congressional District 18, California",2024,1-year 2024 American Community Survey,260217,34.0%,91.8%,11995,7.30%,98233,67379,3817000000,8747000000,06,18,0618,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,18,California District 18,0618
"Congressional District 19, California",2024,1-year 2024 American Community Survey,174283,23.5%,85.0%,5365,5.40%,111593,76542,4455000000,10209000000,06,19,0619,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,19,California District 19,0619
"Congressional District 20, California",2024,1-year 2024 American Community Survey,108996,13.4%,88.4%,5362,8.50%,61016,41851,1558000000,3571000000,06,20,0620,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,20,California District 20,0620
"Congressional District 21, California",2024,1-year 2024 American Community Survey,176918,22.8%,92.0%,10503,10.00%,69832,47898,1869000000,4283000000,06,21,0621,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,21,California District 21,0621
"Congressional District 22, California",2024,1-year 2024 American Community Survey,212470,27.6%,93.2%,8165,7.10%,71243,48866,1967000000,4507000000,06,22,0622,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,22,California District 22,0622
"Congressional District 23, California",2024,1-year 2024 American Community Survey,120603,15.9%,90.3%,8128,12.90%,64888,44507,1611000000,3691000000,06,23,0623,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,23,California District 23,0623
"Congressional District 24, California",2024,1-year 2024 American Community Survey,135607,17.9%,85.9%,7174,9.30%,58515,40136,1918000000,4396000000,06,24,0624,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,24,California District 24,0624
"Congressional District 25, California",2024,1-year 2024 American Community Survey,211279,26.7%,92.0%,11826,10.10%,104623,71761,2325000000,5327000000,06,25,0625,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,25,California District 25,0625
"Congressional District 26, California",2024,1-year 2024 American Community Survey,185661,24.7%,86.3%,8805,7.70%,99149,68007,3010000000,6898000000,06,26,0626,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,26,California District 26,0626
"Congressional District 27, California",2024,1-year 2024 American Community Survey,190185,25.4%,88.0%,12899,11.60%,120545,82683,3387000000,7762000000,06,27,0627,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,27,California District 27,0627
"Congressional District 28, California",2024,1-year 2024 American Community Survey,272703,36.3%,88.4%,16558,10.60%,183427,125814,4785000000,10965000000,06,28,0628,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,28,California District 28,0628
"Congressional District 29, California",2024,1-year 2024 American Community Survey,307306,42.4%,93.4%,29563,16.50%,148797,102061,3562000000,8161000000,06,29,0629,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,29,California District 29,0629
"Congressional District 30, California",2024,1-year 2024 American Community Survey,275252,37.1%,87.0%,17707,11.10%,177287,121603,5062000000,11600000000,06,30,0630,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,30,California District 30,0630
"Congressional District 31, California",2024,1-year 2024 American Community Survey,265618,36.7%,91.2%,15339,10.40%,149900,102817,3454000000,7915000000,06,31,0631,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,31,California District 31,0631
"Congressional District 32, California",2024,1-year 2024 American Community Survey,236518,31.0%,83.1%,18154,12.50%,146162,100254,4521000000,10359000000,06,32,0632,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,32,California District 32,0632
"Congressional District 33, California",2024,1-year 2024 American Community Survey,184795,23.6%,91.0%,12089,11.10%,90586,62134,2511000000,5753000000,06,33,0633,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,33,California District 33,0633
"Congressional District 34, California",2024,1-year 2024 American Community Survey,316643,42.0%,92.6%,28552,15.60%,131223,90007,3440000000,7883000000,06,34,0634,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,34,California District 34,0634
"Congressional District 35, California",2024,1-year 2024 American Community Survey,225171,29.4%,90.7%,8868,6.90%,121005,82998,3068000000,7030000000,06,35,0635,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,35,California District 35,0635
"Congressional District 36, California",2024,1-year 2024 American Community Survey,176469,23.4%,75.7%,10012,9.80%,104440,71636,4118000000,9437000000,06,36,0636,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,36,California District 36,0636
"Congressional District 37, California",2024,1-year 2024 American Community Survey,261462,35.1%,91.0%,27556,18.40%,92084,63161,3087000000,7075000000,06,37,0637,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,37,California District 37,0637
"Congressional District 38, California",2024,1-year 2024 American Community Survey,237994,32.9%,92.1%,14378,10.90%,150728,103386,3622000000,8300000000,06,38,0638,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,38,California District 38,0638
"Congressional District 39, California",2024,1-year 2024 American Community Survey,194450,24.9%,89.9%,12551,10.60%,94732,64977,2379000000,5452000000,06,39,0639,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,39,California District 39,0639
"Congressional District 40, California",2024,1-year 2024 American Community Survey,192559,25.9%,84.8%,7544,6.50%,131555,90235,4318000000,9894000000,06,40,0640,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,40,California District 40,0640
"Congressional District 41, California",2024,1-year 2024 American Community Survey,151283,18.4%,83.7%,9007,10.90%,95160,65271,2304000000,5280000000,06,41,0641,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,41,California District 41,0641
"Congressional District 42, California",2024,1-year 2024 American Community Survey,232076,32.1%,90.7%,17371,13.40%,103258,70825,2821000000,6465000000,06,42,0642,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,42,California District 42,0642
"Congressional District 43, California",2024,1-year 2024 American Community Survey,242866,33.7%,91.9%,17384,11.70%,111613,76556,3025000000,6932000000,06,43,0643,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,43,California District 43,0643
"Congressional District 44, California",2024,1-year 2024 American Community Survey,238407,32.1%,89.7%,13757,9.80%,128369,88049,3266000000,7483000000,06,44,0644,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,44,California District 44,0644
"Congressional District 45, California",2024,1-year 2024 American Community Survey,286582,38.6%,90.6%,13484,8.10%,195394,134022,4621000000,10589000000,06,45,0645,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,45,California District 45,0645
"Congressional District 46, California",2024,1-year 2024 American Community Survey,293690,38.5%,94.8%,16892,9.30%,130991,89848,3756000000,8606000000,06,46,0646,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,46,California District 46,0646
"Congressional District 47, California",2024,1-year 2024 American Community Survey,219452,29.0%,84.3%,11792,9.10%,123479,84695,4572000000,10476000000,06,47,0647,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,47,California District 47,0647
"Congressional District 48, California",2024,1-year 2024 American Community Survey,135508,17.6%,85.5%,6079,7.40%,86444,59292,2055000000,4708000000,06,48,0648,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,48,California District 48,0648
"Congressional District 49, California",2024,1-year 2024 American Community Survey,131589,17.6%,80.6%,8812,10.60%,75412,51725,2447000000,5608000000,06,49,0649,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,49,California District 49,0649
"Congressional District 50, California",2024,1-year 2024 American Community Survey,167333,22.0%,81.7%,10196,10.10%,94308,64687,3669000000,8407000000,06,50,0650,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,50,California District 50,0650
"Congressional District 51, California",2024,1-year 2024 American Community Survey,184715,24.1%,83.8%,8564,7.90%,110852,76034,3237000000,7418000000,06,51,0651,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,51,California District 51,0651
"Congressional District 52, California",2024,1-year 2024 American Community Survey,255154,33.7%,92.8%,15002,10.90%,138505,95002,3184000000,7296000000,06,52,0652,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),California,52,California District 52,0652
"Congressional District 1, Colorado",2024,1-year 2024 American Community Survey,118499,16.1%,80.5%,6195,7.70%,48087,37489,1770000000,4712000000,08,1,0801,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Colorado,1,Colorado District 1,0801
"Congressional District 4, Colorado",2024,1-year 2024 American Community Survey,66006,8.4%,82.0%,4610,10.60%,32414,25270,1150000000,3061000000,08,4,0804,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Colorado,4,Colorado District 4,0804
"Congressional District 6, Colorado",2024,1-year 2024 American Community Survey,131188,18.0%,81.9%,5662,6.70%,58013,45228,1747000000,4652000000,08,6,0806,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Colorado,6,Colorado District 6,0806
"Congressional District 8, Colorado",2024,1-year 2024 American Community Survey,101066,13.3%,86.2%,6121,9.30%,41529,32377,1251000000,3332000000,08,8,0808,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Colorado,8,Colorado District 8,0808
